SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.589E-09,-3.686E-09,-4.509E-09,-5.197E-09,-5.577E-09,-6.147E-09,-6.419E-09,-3.244E-09,3.2E-11,-9E-12,-4.9E-11,-9E-11,-1.36E-10,-1.9E-10,-2.54E-10,-3.55E-10
0.4,3.477E-09,3.019E-09,1.271E-09,2.51E-09,3.19E-10,-2E-11,-2.15E-10,4.207E-09,4.1E-11,1E-12,-3.8E-11,-7.9E-11,-1.24E-10,-1.78E-10,-2.41E-10,-3.47E-10
0.3,3.071E-09,3.255E-09,5.177E-09,2.93E-09,2.547E-09,2.319E-09,2.157E-09,9.241E-09,5E-11,1E-11,-2.7E-11,-6.9E-11,-1.14E-10,-1.66E-10,-2.27E-10,-3.33E-10
0.2,5.25E-09,6.389E-09,6.725E-09,6.578E-09,6.436E-09,6.291E-09,6.152E-09,1.1541E-08,5.9E-11,2.1E-11,-1.8E-11,-5.8E-11,-1.03E-10,-1.54E-10,-2.14E-10,-3.25E-10
0.1,5.282E-09,7.571E-09,7.938E-09,7.924E-09,7.784E-09,7.65E-09,7.495E-09,1.3859E-08,6.6E-11,2.8E-11,-8E-12,-4.9E-11,-9.3E-11,-1.43E-10,-2.01E-10,-3.04E-10
0,6.163E-09,8.537E-09,8.989E-09,9.019E-09,8.864E-09,8.717E-09,8.522E-09,1.5364E-08,7.4E-11,3.8E-11,0,-4E-11,-8.3E-11,-1.31E-10,-1.88E-10,-2.95E-10
-0.1,6.586E-09,9.644E-09,1.0265E-08,1.0245E-08,1.0092E-08,9.936E-09,9.671E-09,1.5792E-08,8E-11,4.4E-11,8E-12,-3.1E-11,-7.5E-11,-1.22E-10,-1.77E-10,-2.83E-10
-0.2,7.215E-09,1.0934E-08,1.1799E-08,1.185E-08,1.1567E-08,1.1354E-08,1.1023E-08,1.6541E-08,8.8E-11,5.3E-11,1.5E-11,-2.3E-11,-6.6E-11,-1.14E-10,-1.66E-10,-2.7E-10
-0.3,7.848E-09,1.2428E-08,1.3493E-08,1.3647E-08,1.3343E-08,1.3088E-08,1.2677E-08,1.7909E-08,9.2E-11,5.8E-11,2.2E-11,-1.7E-11,-5.9E-11,-1.06E-10,-1.57E-10,-2.59E-10
-0.4,8.82E-09,1.4181E-08,1.5617E-08,1.5866E-08,1.5525E-08,1.5265E-08,1.4773E-08,1.8313E-08,9.8E-11,6.5E-11,2.7E-11,-1.1E-11,-5.3E-11,-9.9E-11,-1.49E-10,-2.45E-10
-0.5,9.95E-09,1.6023E-08,1.7935E-08,1.8271E-08,1.7937E-08,1.7672E-08,1.716E-08,1.9307E-08,1.02E-10,6.8E-11,3.2E-11,-7E-12,-4.8E-11,-9.4E-11,-1.42E-10,-2.34E-10
-0.6,1.144E-08,1.8066E-08,2.0536E-08,2.095E-08,2.0646E-08,2.0464E-08,1.995E-08,2.0242E-08,1.08E-10,7.4E-11,3.6E-11,-2E-12,-4.2E-11,-8.8E-11,-1.35E-10,-2.24E-10
-0.7,1.3104E-08,2.0328E-08,2.3171E-08,2.3925E-08,2.369E-08,2.3605E-08,2.313E-08,2.3055E-08,1.12E-10,7.6E-11,4E-11,1E-12,-4E-11,-8.5E-11,-1.31E-10,-2.17E-10
-0.8,1.4823E-08,2.2337E-08,2.5647E-08,2.6622E-08,2.6489E-08,2.6536E-08,2.6097E-08,2.4399E-08,1.17E-10,8.1E-11,4.3E-11,4E-12,-3.6E-11,-8E-11,-1.26E-10,-2.08E-10
-0.9,1.6553E-08,2.4437E-08,2.827E-08,2.9445E-08,2.9492E-08,2.968E-08,2.9309E-08,2.7205E-08,1.18E-10,8.2E-11,4.5E-11,6E-12,-3.4E-11,-7.9E-11,-1.23E-10,-2.02E-10
-1,1.8288E-08,2.6483E-08,3.0838E-08,3.2112E-08,3.2387E-08,3.2732E-08,3.2391E-08,3.1775E-08,1.23E-10,8.6E-11,4.7E-11,9E-12,-3.1E-11,-7.5E-11,-1.2E-10,-2.02E-10
-1.1,2.0152E-08,2.8509E-08,3.3123E-08,3.4974E-08,3.5521E-08,3.6002E-08,3.5716E-08,3.5044E-08,1.24E-10,8.7E-11,5E-11,1.1E-11,-3E-11,-7.3E-11,-1.18E-10,-1.98E-10
-1.2,2.2363E-08,3.0371E-08,3.5424E-08,3.7622E-08,3.8384E-08,3.9076E-08,3.887E-08,3.7632E-08,1.28E-10,8.9E-11,5.1E-11,1.3E-11,-2.7E-11,-7.1E-11,-1.15E-10,-1.96E-10
-1.3,2.4414E-08,3.1976E-08,3.7364E-08,3.9842E-08,4.0952E-08,4.185E-08,4.1729E-08,4.0763E-08,1.3E-10,9E-11,5.3E-11,1.4E-11,-2.6E-11,-6.9E-11,-1.14E-10,-1.95E-10
-1.4,2.6684E-08,3.367E-08,3.9728E-08,4.1799E-08,4.3469E-08,4.4348E-08,4.4412E-08,4.3988E-08,1.34E-10,9.2E-11,5.3E-11,1.6E-11,-2.4E-11,-6.7E-11,-1.11E-10,-1.94E-10
-1.5,2.9224E-08,3.5109E-08,4.0796E-08,4.3668E-08,4.5351E-08,4.6858E-08,4.7083E-08,4.5663E-08,1.35E-10,9.3E-11,5.5E-11,1.6E-11,-2.4E-11,-6.7E-11,-1.1E-10,-1.87E-10
-1.6,3.1944E-08,3.6489E-08,4.1498E-08,4.4616E-08,4.6476E-08,4.8143E-08,4.8545E-08,4.6564E-08,1.39E-10,9.5E-11,5.5E-11,1.7E-11,-2.2E-11,-6.6E-11,-1.09E-10,-1.88E-10
-1.7,3.4858E-08,3.8521E-08,4.3148E-08,4.5904E-08,4.7986E-08,4.9828E-08,5.051E-08,5.3206E-08,1.39E-10,9.6E-11,5.6E-11,1.8E-11,-2.2E-11,-6.5E-11,-1.08E-10,-1.82E-10
-1.8,3.7939E-08,4.1311E-08,4.5039E-08,4.8217E-08,5.0451E-08,5.251E-08,5.3551E-08,5.9517E-08,1.43E-10,9.9E-11,5.7E-11,1.9E-11,-2E-11,-6.3E-11,-1.06E-10,-1.79E-10
-1.9,4.154E-08,4.4875E-08,4.8355E-08,5.1478E-08,5.3978E-08,5.6461E-08,5.7819E-08,4.9228E-08,1.44E-10,9.9E-11,6E-11,2.1E-11,-1.9E-11,-6.1E-11,-1.05E-10,-1.74E-10
-2,4.6172E-08,4.9957E-08,5.3562E-08,5.6924E-08,5.9769E-08,6.2625E-08,4.5532E-08,7.0519E-08,1.48E-10,1.02E-10,6.2E-11,2.4E-11,-1.6E-11,-5.8E-11,-1.03E-10,-1.68E-10
-2.1,5.1314E-08,5.6652E-08,6.1023E-08,6.4683E-08,6.8082E-08,7.148E-08,6.4969E-08,7.2034E-08,1.51E-10,1.06E-10,6.5E-11,2.6E-11,-1.3E-11,-5.5E-11,-9.9E-11,-1.6E-10
-2.2,5.8009E-08,6.6088E-08,7.1336E-08,6.1005E-08,6.4464E-08,6.8167E-08,6.8629E-08,8.6248E-08,1.57E-10,1.11E-10,6.8E-11,2.9E-11,-1E-11,-5.2E-11,-9.6E-11,-1.53E-10
-2.3,6.7246E-08,7.8831E-08,7.3384E-08,8.5414E-08,9.0674E-08,9.6038E-08,9.0349E-08,1.06136E-07,1.6E-10,1.14E-10,7.2E-11,3.3E-11,-7E-12,-4.8E-11,-9.2E-11,-1.45E-10
