SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-7.62E-10,-4.307E-09,-4.678E-09,-5.008E-09,-4.361E-09,-3.498E-09,-2.84E-09,-2.153E-09,7.37E-10,4.018E-09,4.427E-09,4.806E-09,4.208E-09,3.525E-09,3.081E-09,2.84E-09
0.4,2.849E-09,-1.405E-09,-1.599E-09,-1.792E-09,-9.61E-10,-3.27E-10,2.04E-10,4.36E-10,-9.39E-10,1.693E-09,1.937E-09,2.191E-09,1.425E-09,9.84E-10,6.42E-10,8.21E-10
0.3,3.901E-09,2.144E-09,2.102E-09,2.03E-09,2.989E-09,3.501E-09,1.069E-09,3.877E-09,-1.63E-09,-3.4E-10,-2.38E-10,4.81E-10,-9.76E-10,-1.255E-09,-4.01E-10,-1.176E-09
0.2,4.456E-09,3.694E-09,3.785E-09,1.379E-09,4.792E-09,5.075E-09,4.907E-09,5.217E-09,-2.109E-09,-1.477E-09,-1.49E-09,-6.5E-11,-2.425E-09,-2.484E-09,-2.352E-09,-2.174E-09
0.1,4.838E-09,4.667E-09,4.853E-09,1.999E-09,5.972E-09,6.048E-09,6.186E-09,6.041E-09,-2.515E-09,-2.409E-09,-2.495E-09,-8.78E-10,-3.633E-09,-3.435E-09,-3.549E-09,-3.034E-09
0,5.128E-09,5.391E-09,5.617E-09,2.082E-09,6.845E-09,6.711E-09,6.994E-09,6.649E-09,-2.787E-09,-3.156E-09,-3.37E-09,-1.528E-09,-4.589E-09,-4.263E-09,-4.416E-09,-3.806E-09
-0.1,5.322E-09,5.971E-09,6.293E-09,5.074E-09,7.506E-09,7.271E-09,5.444E-09,7.171E-09,-3.089E-09,-3.932E-09,-4.195E-09,-3.217E-09,-5.488E-09,-4.99E-09,-4.106E-09,-4.431E-09
-0.2,5.636E-09,6.664E-09,7.005E-09,6.449E-09,8.277E-09,7.912E-09,7.884E-09,7.674E-09,-3.322E-09,-4.646E-09,-5.043E-09,-4.412E-09,-6.319E-09,-5.629E-09,-5.417E-09,-4.971E-09
-0.3,5.853E-09,7.256E-09,7.707E-09,7.563E-09,8.937E-09,8.41E-09,8.856E-09,8.028E-09,-3.636E-09,-5.425E-09,-5.866E-09,-5.503E-09,-7.114E-09,-6.376E-09,-6.222E-09,-5.32E-09
-0.4,6.204E-09,7.963E-09,8.436E-09,8.698E-09,9.6E-09,9.071E-09,9.585E-09,8.283E-09,-3.986E-09,-6.263E-09,-6.812E-09,-6.626E-09,-7.968E-09,-7.142E-09,-6.898E-09,-5.664E-09
-0.5,6.534E-09,8.679E-09,9.212E-09,9.839E-09,1.1181E-08,9.664E-09,1.0341E-08,8.508E-09,-4.44E-09,-7.093E-09,-7.669E-09,-7.761E-09,-8.947E-09,-7.957E-09,-7.817E-09,-5.91E-09
-0.6,6.998E-09,9.37E-09,1.0772E-08,1.1241E-08,1.2252E-08,1.1554E-08,1.1324E-08,8.713E-09,-4.941E-09,-7.911E-09,-8.76E-09,-8.963E-09,-8.434E-09,-8.972E-09,-7.524E-09,-6.258E-09
-0.7,7.524E-09,1.1135E-08,1.1961E-08,1.2318E-08,1.1447E-08,1.2489E-08,1.1185E-08,9.031E-09,-5.588E-09,-8.913E-09,-9.929E-09,-1.0174E-08,-9.792E-09,-1.0072E-08,-7.601E-09,-6.671E-09
-0.8,8.115E-09,1.1953E-08,1.3118E-08,1.3531E-08,1.3411E-08,1.3589E-08,1.1864E-08,9.367E-09,-6.287E-09,-9.878E-09,-1.1002E-08,-1.1364E-08,-1.1253E-08,-1.1164E-08,-9.365E-09,-7.09E-09
-0.9,8.785E-09,1.2987E-08,1.4274E-08,1.4796E-08,1.4847E-08,1.4838E-08,1.3267E-08,9.746E-09,-7.014E-09,-1.0843E-08,-1.2332E-08,-1.2807E-08,-1.2817E-08,-1.2469E-08,-1.0709E-08,-7.48E-09
-1,9.397E-09,1.3975E-08,1.575E-08,1.6372E-08,1.6515E-08,1.633E-08,1.4558E-08,1.0971E-08,-7.664E-09,-1.1763E-08,-1.3608E-08,-1.418E-08,-1.4227E-08,-1.3936E-08,-1.216E-08,-8.088E-09
-1.1,1.0856E-08,1.4931E-08,1.6987E-08,1.7705E-08,1.7859E-08,1.7703E-08,1.6157E-08,1.1707E-08,-8.551E-09,-1.2902E-08,-1.4773E-08,-1.5446E-08,-1.5499E-08,-1.5104E-08,-1.351E-08,-7.418E-09
-1.2,1.1916E-08,1.6335E-08,1.8215E-08,1.8996E-08,1.9159E-08,1.8888E-08,1.7495E-08,1.1722E-08,-9.53E-09,-1.4045E-08,-1.5892E-08,-1.6639E-08,-1.671E-08,-1.6285E-08,-1.4741E-08,-7.259E-09
-1.3,1.2944E-08,1.742E-08,1.9303E-08,2.0148E-08,2.0323E-08,2.0021E-08,2.0508E-08,1.1728E-08,-8.912E-09,-1.5087E-08,-1.6929E-08,-1.7751E-08,-1.7803E-08,-1.7324E-08,-1.9611E-08,-8.973E-09
-1.4,1.1856E-08,1.8488E-08,2.0352E-08,2.1251E-08,2.1427E-08,2.1042E-08,2.4225E-08,1.3272E-08,-1.0149E-08,-1.6043E-08,-1.7815E-08,-1.876E-08,-1.8821E-08,-1.8288E-08,-2.1658E-08,-1.0673E-08
-1.5,1.4054E-08,1.9497E-08,2.1291E-08,2.2319E-08,2.2467E-08,2.2074E-08,2.6504E-08,1.4911E-08,-1.1676E-08,-1.7015E-08,-1.8775E-08,-1.9747E-08,-1.9787E-08,-1.9184E-08,-2.4041E-08,-1.2221E-08
-1.6,1.5515E-08,2.0444E-08,2.2197E-08,2.3249E-08,2.3382E-08,2.2875E-08,2.8566E-08,1.6417E-08,-1.3333E-08,-1.7873E-08,-1.9618E-08,-2.0613E-08,-2.062E-08,-1.9949E-08,-2.569E-08,-1.3727E-08
-1.7,1.7464E-08,2.1395E-08,2.3109E-08,2.415E-08,2.4252E-08,2.3717E-08,2.9501E-08,1.8021E-08,-1.5023E-08,-1.8784E-08,-2.0468E-08,-2.1443E-08,-2.1412E-08,-2.0721E-08,-2.6295E-08,-1.535E-08
-1.8,1.9105E-08,2.2284E-08,2.3949E-08,2.4965E-08,2.5032E-08,2.4495E-08,3.0093E-08,1.9648E-08,-1.6665E-08,-1.9673E-08,-2.1258E-08,-2.2193E-08,-2.2139E-08,-2.1542E-08,-2.7053E-08,-1.7048E-08
-1.9,2.0802E-08,2.3282E-08,2.4789E-08,2.5731E-08,2.5797E-08,2.546E-08,3.1041E-08,2.1415E-08,-1.8391E-08,-2.0769E-08,-2.2114E-08,-2.2957E-08,-2.2973E-08,-2.2553E-08,-2.8175E-08,-1.8816E-08
