SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.57E-10,-1.65E-09,-2.42E-09,-2.79E-09,-2.90E-09,4.25E-10,1.17E-09,-8.68E-10,2.86E-10,1.50E-09,2.20E-09,2.66E-09,2.85E-09,-1.91E-10,-7.66E-10,1.71E-09
0.4,8.99E-10,7.18E-10,3.12E-10,7.71E-10,5.87E-10,2.84E-09,3.42E-09,1.11E-09,-1.75E-10,-1.33E-10,2.82E-10,7.34E-10,8.80E-10,-1.73E-09,-1.47E-09,7.66E-10
0.3,1.15E-09,1.79E-09,1.65E-09,8.66E-10,8.27E-10,4.97E-09,4.58E-09,2.21E-09,-3.66E-10,-9.73E-10,-7.77E-10,2.20E-10,2.97E-10,-3.57E-09,-3.33E-09,-5.32E-10
0.2,1.27E-09,1.77E-09,2.22E-09,1.27E-09,1.29E-09,7.48E-09,7.75E-09,2.29E-09,-4.76E-10,-4.62E-10,-7.72E-10,-1.60E-10,-1.03E-10,-5.58E-09,-5.09E-09,-3.70E-11
0.1,1.34E-09,1.65E-09,2.43E-09,1.63E-09,1.66E-09,9.09E-09,9.82E-09,2.12E-09,-5.47E-10,-5.63E-10,-1.58E-09,-4.48E-10,-4.08E-10,-6.82E-09,-6.08E-09,-1.23E-10
0,1.35E-09,1.76E-09,2.52E-09,1.93E-09,1.99E-09,1.02E-08,1.05E-08,2.10E-09,-5.93E-10,-7.11E-10,-9.64E-10,-7.07E-10,-6.86E-10,-7.80E-09,-7.98E-09,-2.01E-10
-0.1,1.42E-09,1.99E-09,2.43E-09,2.32E-09,2.39E-09,1.09E-08,1.14E-08,2.16E-09,-6.48E-10,-9.03E-10,-1.10E-09,-1.01E-09,-1.02E-09,-8.80E-09,-8.29E-09,-2.99E-10
-0.2,1.45E-09,2.28E-09,2.71E-09,2.75E-09,2.85E-09,1.19E-08,1.23E-08,2.18E-09,-7.05E-10,-1.14E-09,-1.39E-09,-1.39E-09,-1.42E-09,-9.38E-09,-8.68E-09,-3.68E-10
-0.3,1.52E-09,2.65E-09,3.17E-09,3.29E-09,3.43E-09,1.22E-08,1.25E-08,2.21E-09,-7.73E-10,-1.45E-09,-1.80E-09,-1.86E-09,-1.92E-09,-9.89E-09,-9.36E-09,-4.60E-10
-0.4,1.62E-09,3.12E-09,3.76E-09,3.93E-09,4.10E-09,1.29E-08,1.27E-08,2.92E-08,-8.66E-10,-1.83E-09,-2.53E-09,-2.65E-09,-2.74E-09,-1.04E-08,-1.03E-08,-1.78E-08
