SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-3.21E-10,-2.208E-09,-2.74E-09,-2.946E-09,-3.138E-09,-3.181E-09,-3.37E-09,-3.167E-09,2.91E-10,1.996E-09,2.527E-09,2.765E-09,3.058E-09,3.157E-09,3.402E-09,3.098E-09
0.4,9.56E-10,-3.26E-10,2.43E-10,-4.92E-10,8.07E-10,7.87E-10,6.77E-10,1.324E-09,-3.96E-10,6.74E-10,4.32E-10,8.51E-10,9.9E-10,1.073E-09,1.233E-09,8.04E-10
0.3,1.228E-09,1.048E-09,7.55E-10,9.13E-10,7E-10,6.69E-10,5.82E-10,1.134E-09,-3.57E-10,1.7E-11,1.94E-10,2.72E-10,4.14E-10,4.88E-10,6.01E-10,1.62E-10
0.2,1.251E-09,1.564E-09,1.313E-09,6.76E-10,1.188E-09,1.156E-09,1.125E-09,1.645E-09,-7.05E-10,-3.58E-10,-2.17E-10,-3.39E-10,-3E-11,4.1E-11,1.33E-10,-6.18E-10
0.1,1.051E-09,2.058E-09,1.768E-09,0.000000002,1.645E-09,1.61E-09,1.57E-09,2.214E-09,-3.89E-10,-6.92E-10,-5.59E-10,-5.52E-10,-3.82E-10,-3.1E-10,-2.24E-10,-8E-10
0,9.14E-10,2.471E-09,2.201E-09,2.266E-09,2.065E-09,2.024E-09,1.983E-09,2.63E-09,-3.98E-10,-1.018E-09,-9.01E-10,-8.64E-10,-7.18E-10,-6.44E-10,-5.56E-10,-1.221E-09
-0.1,9.21E-10,3.04E-09,2.733E-09,2.714E-09,2.56E-09,2.516E-09,2.471E-09,3.129E-09,-4.37E-10,-1.404E-09,-1.3E-09,-1.24E-09,-1.101E-09,-1.02E-09,-9.28E-10,-1.595E-09
-0.2,9.97E-10,2.485E-09,3.286E-09,3.26E-09,3.129E-09,3.109E-09,3.039E-09,3.504E-09,-5E-10,-2.127E-09,-1.757E-09,-1.695E-09,-1.561E-09,-1.482E-09,-1.383E-09,-1.73E-09
-0.3,1.128E-09,4.232E-09,3.908E-09,3.907E-09,3.804E-09,3.783E-09,3.736E-09,3.95E-09,-5.89E-10,-2.385E-09,-2.262E-09,-2.219E-09,-2.1E-09,-2.025E-09,-1.933E-09,-2.172E-09
-0.4,1.323E-09,4.557E-09,4.614E-09,4.674E-09,4.619E-09,4.629E-09,4.612E-09,4.707E-09,-7.14E-10,-2.762E-09,-3.097E-09,-2.822E-09,-2.735E-09,-2.683E-09,-2.61E-09,-2.755E-09
-0.5,1.567E-09,4.983E-09,8.618E-09,5.453E-09,5.499E-09,5.528E-09,5.584E-09,5.544E-09,-8.81E-10,-3.424E-09,-5.728E-09,-3.757E-09,-3.737E-09,-3.712E-09,-3.689E-09,-3.671E-09
-0.6,1.889E-09,8.794E-09,1.0954E-08,9.654E-09,9.797E-09,9.917E-09,1.0049E-08,9.97E-09,-1.11E-09,-5.962E-09,-7.696E-09,-6.665E-09,-6.123E-09,-6.797E-09,-6.214E-09,-6.666E-09
-0.7,2.312E-09,1.1015E-08,1.2944E-08,1.2289E-08,9.674E-09,1.2734E-08,1.0029E-08,1.2723E-08,-1.423E-09,-7.703E-09,-9.443E-09,-8.965E-09,-5.893E-09,-9.28E-09,-6.116E-09,-6.975E-09
-0.8,2.804E-09,1.2615E-08,1.4326E-08,1.4165E-08,1.0687E-08,1.4802E-08,1.0599E-08,1.2486E-08,-1.807E-09,-9.18E-09,-1.0994E-08,-1.0831E-08,-6.874E-09,-1.1352E-08,-6.621E-09,-1.0002E-08
-0.9,3.407E-09,1.3744E-08,1.5719E-08,1.6052E-08,1.3199E-08,1.6912E-08,1.1541E-08,1.6478E-08,-2.273E-09,-1.0305E-08,-1.2683E-08,-1.2944E-08,-1.0052E-08,-1.3707E-08,-7.188E-09,-1.294E-08
-1,4.04E-09,1.4758E-08,1.7696E-08,1.8221E-08,1.5665E-08,1.9344E-08,1.2388E-08,1.9025E-08,-2.772E-09,-1.1601E-08,-1.423E-08,-1.4769E-08,-1.2718E-08,-1.5805E-08,-8.276E-09,-1.544E-08
-1.1,4.71E-09,1.6184E-08,1.9083E-08,1.9892E-08,1.8334E-08,2.1312E-08,1.4903E-08,2.1319E-08,-3.305E-09,-1.2653E-08,-1.5464E-08,-1.6268E-08,-1.4937E-08,-1.7597E-08,-1.194E-08,-1.7494E-08
-1.2,5.422E-09,1.6821E-08,2.024E-08,2.1306E-08,2.0366E-08,2.3027E-08,1.8115E-08,2.3267E-08,-4.14E-09,-1.3315E-08,-1.6446E-08,-1.7497E-08,-1.6711E-08,-1.9114E-08,-1.4724E-08,-1.9224E-08
-1.3,9.751E-09,1.7692E-08,2.1021E-08,2.2313E-08,2.187E-08,2.4322E-08,2.0519E-08,2.483E-08,-6.094E-09,-1.3903E-08,-1.7082E-08,-1.8333E-08,-1.797E-08,-2.0216E-08,-1.6777E-08,-2.0571E-08
-1.4,1.0833E-08,1.8215E-08,2.1519E-08,2.2968E-08,2.2894E-08,2.5229E-08,2.2261E-08,2.5866E-08,-6.104E-09,-1.4331E-08,-1.7436E-08,-1.8776E-08,-1.8734E-08,-2.0859E-08,-1.8146E-08,-2.1261E-08
-1.5,1.1668E-08,1.8682E-08,2.183E-08,2.3309E-08,2.3513E-08,2.5698E-08,2.3402E-08,2.6402E-08,-7.137E-09,-1.4753E-08,-1.7642E-08,-1.8951E-08,-1.9101E-08,-2.1045E-08,-1.8952E-08,-2.1483E-08
-1.6,1.3157E-08,1.9121E-08,2.196E-08,2.3361E-08,2.3706E-08,2.5672E-08,2.3976E-08,2.642E-08,-1.005E-08,-1.529E-08,-1.7768E-08,-1.8955E-08,-1.9216E-08,-2.0884E-08,-1.9346E-08,-2.1383E-08
-1.7,1.5565E-08,1.9941E-08,2.228E-08,2.3534E-08,2.3976E-08,2.5628E-08,2.4473E-08,2.6508E-08,-1.2768E-08,-1.6272E-08,-1.8205E-08,-1.921E-08,-1.9521E-08,-2.0866E-08,-1.9841E-08,-2.153E-08
