SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.021E-09,-2.4654E-08,-2.5838E-08,-2.6491E-08,-2.6661E-08,-2.7048E-08,-2.7659E-08,-2.7865E-08,8.47E-10,1.7425E-08,1.8292E-08,1.8704E-08,1.8609E-08,1.8981E-08,1.9563E-08,1.9809E-08
0.4,2.92E-10,-1.3437E-08,-1.4134E-08,-1.4417E-08,-1.4218E-08,-1.4455E-08,-1.5066E-08,-1.5274E-08,2.07E-10,1.1665E-08,1.2331E-08,1.2594E-08,1.2383E-08,1.2598E-08,1.3218E-08,1.3691E-08
0.3,7.24E-10,-8.764E-09,-9.321E-09,-9.501E-09,-9.311E-09,-9.46E-09,-9.951E-09,-1.0376E-08,-1.23E-10,7.767E-09,8.321E-09,8.502E-09,8.388E-09,8.538E-09,8.947E-09,9.356E-09
0.2,9.81E-10,-5.646E-09,-6.108E-09,-6.227E-09,-6.113E-09,-6.204E-09,-6.512E-09,-6.832E-09,-3.31E-10,5.197E-09,5.648E-09,5.785E-09,5.705E-09,5.798E-09,6.071E-09,6.356E-09
0.1,1.151E-09,-3.552E-09,-3.925E-09,-4.013E-09,-3.924E-09,-3.966E-09,-4.157E-09,-4.37E-09,-4.74E-10,3.415E-09,3.796E-09,3.907E-09,3.838E-09,3.885E-09,4.06E-09,4.247E-09
0,1.26E-09,-2.193E-09,-2.52E-09,-2.602E-09,-2.542E-09,-2.554E-09,-2.648E-09,-2.753E-09,-5.7E-10,2.112E-09,2.428E-09,2.518E-09,2.467E-09,2.484E-09,2.577E-09,2.676E-09
-0.1,1.35E-09,-8.26E-10,-1.142E-09,-1.186E-09,-1.114E-09,-1.014E-09,-1.123E-09,-1.101E-09,-6.53E-10,1.177E-09,1.449E-09,1.52E-09,1.487E-09,1.459E-09,1.542E-09,1.557E-09
-0.2,1.429E-09,-1.29E-10,-2.56E-10,-2.8E-10,-2.07E-10,-2.5E-10,-1.46E-10,-1.58E-10,-7.28E-10,5.5E-10,7.57E-10,8.12E-10,7.78E-10,7.65E-10,7.71E-10,7.7E-10
-0.3,1.407E-09,4.85E-10,3.38E-10,3.28E-10,3.11E-10,4.42E-10,4.87E-10,5.17E-10,-7.75E-10,8.5E-11,2.55E-10,2.96E-10,2.75E-10,2.34E-10,2.43E-10,2.02E-10
-0.4,1.557E-09,9E-10,7.9E-10,7.95E-10,8.55E-10,9.08E-10,9.9E-10,1.02E-09,-8.61E-10,-2.66E-10,-1.32E-10,-1.03E-10,-1.35E-10,-1.61E-10,-1.19E-10,-2.35E-10
-0.5,1.651E-09,1.151E-09,1.161E-09,1.177E-09,1.236E-09,1.195E-09,1.399E-09,1.429E-09,-9.51E-10,-5.37E-10,-4.55E-10,-4.37E-10,-4.67E-10,-4.77E-10,-2.93E-10,-6E-10
-0.6,1.746E-09,1.492E-09,1.462E-09,1.486E-09,1.546E-09,1.596E-09,1.742E-09,1.773E-09,-1.048E-09,-8.02E-10,-7.35E-10,-7.28E-10,-7.62E-10,-7.92E-10,-8.28E-10,-9.32E-10
-0.7,1.794E-09,1.771E-09,1.763E-09,1.797E-09,1.86E-09,1.926E-09,1.941E-09,2.038E-09,-1.157E-09,-1.062E-09,-1.022E-09,-1.021E-09,-1.058E-09,-1.107E-09,-1.062E-09,-1.173E-09
-0.8,2.01E-09,2.036E-09,1.972E-09,2.01E-09,2.168E-09,2.245E-09,2.235E-09,2.344E-09,-1.276E-09,-1.328E-09,-1.272E-09,-1.276E-09,-1.368E-09,-1.36E-09,-1.375E-09,-1.507E-09
-0.9,2.105E-09,2.25E-09,2.349E-09,2.404E-09,2.507E-09,2.473E-09,2.588E-09,2.716E-09,-1.432E-09,-1.538E-09,-1.61E-09,-1.632E-09,-1.683E-09,-1.649E-09,-1.709E-09,-1.864E-09
-1,2.401E-09,2.607E-09,2.711E-09,2.782E-09,2.872E-09,2.91E-09,2.969E-09,3.123E-09,-1.721E-09,-1.909E-09,-1.902E-09,-1.941E-09,-2.072E-09,-2.011E-09,-2.114E-09,-2.263E-09
