SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.185E-09,-3.4407E-08,-3.9064E-08,-4.0518E-08,-4.2199E-08,-4.3539E-08,-4.4726E-08,-4.6108E-08,0,-1E-12,-2E-12,0,-2E-12,-2E-12,-1E-12,-1E-12
0.4,1.365E-09,-1.6636E-08,-2.1633E-08,-2.3006E-08,-2.4298E-08,-2.5146E-08,-2.6124E-08,-2.7107E-08,0,0,-1E-12,1E-12,-1E-12,0,1E-12,-1E-12
0.3,2.212E-09,-9.621E-09,-1.3602E-08,-1.4711E-08,-1.5691E-08,-1.6278E-08,-1.6983E-08,-1.7731E-08,0,-1E-12,-2E-12,0,-2E-12,-2E-12,-1E-12,-2E-12
0.2,2.603E-09,-5.296E-09,-7.979E-09,-8.779E-09,-9.187E-09,-9.832E-09,-1.0044E-08,-1.0769E-08,1E-12,-1E-12,-1E-12,0,-1E-12,-1E-12,0,-2E-12
0.1,2.834E-09,-2.736E-09,-3.904E-09,-4.38E-09,-4.6E-09,-5.052E-09,-5.042E-09,-5.688E-09,1E-12,-1E-12,-1E-12,0,-2E-12,-1E-12,-2E-12,-2E-12
0,2.951E-09,9.16E-10,-1.839E-09,-2.073E-09,-2.408E-09,-2.438E-09,-2.674E-09,-2.765E-09,0,-1E-12,-1E-12,1E-12,-1E-12,-2E-12,-1E-12,-2E-12
-0.1,3.122E-09,2.509E-09,1.875E-09,1.887E-09,1.746E-09,1.838E-09,1.729E-09,1.746E-09,0,-1E-12,-1E-12,1E-12,0,0,1E-12,0
-0.2,3.296E-09,3.542E-09,3.431E-09,3.595E-09,3.586E-09,3.71E-09,3.694E-09,3.756E-09,0,0,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12
-0.3,3.504E-09,8.37E-10,4.477E-09,4.739E-09,4.778E-09,4.917E-09,4.941E-09,5.01E-09,0,1E-12,0,1E-12,1E-12,0,0,1E-12
-0.4,3.817E-09,4.07E-09,1.522E-09,2.108E-09,2.063E-09,2.14E-09,2.121E-09,2.148E-09,0,-1E-12,0,1E-12,0,0,1E-12,-1E-12
-0.5,1.198E-09,5.018E-09,5.141E-09,4.747E-09,4.78E-09,5.013E-09,5.086E-09,5.19E-09,1E-12,0,-1E-12,1E-12,0,-1E-12,1E-12,0
-0.6,3.997E-09,2.484E-09,6.171E-09,5.876E-09,6.047E-09,6.156E-09,6.36E-09,6.499E-09,0,0,0,1E-12,0,-1E-12,0,0
-0.7,4.686E-09,4.463E-09,3.822E-09,6.811E-09,7.144E-09,7.356E-09,8.707E-09,8.907E-09,0,1E-12,0,1E-12,0,-1E-12,-1E-12,-1E-12
-0.8,1.954E-09,5.081E-09,5.977E-09,8.763E-09,9.158E-09,9.466E-09,9.676E-09,9.909E-09,0,1E-12,-1E-12,0,-1E-12,-1E-12,0,0
-0.9,4.986E-09,5.711E-09,6.927E-09,9.547E-09,9.993E-09,1.0344E-08,1.0995E-08,1.1265E-08,-1E-12,1E-12,0,0,0,0,-2E-12,-2E-12
-1,5.725E-09,6.159E-09,8.805E-09,1.0656E-08,1.1174E-08,1.1577E-08,1.1933E-08,1.2228E-08,-1E-12,1E-12,-1E-12,-1E-12,-1E-12,-2E-12,0,0
-1.1,3.311E-09,6.695E-09,9.42E-09,1.1324E-08,1.1889E-08,1.2325E-08,1.2688E-08,1.2997E-08,0,0,0,0,0,0,-2E-12,-2E-12
-1.2,5.295E-09,7.14E-09,1.0351E-08,1.1998E-08,1.2523E-08,1.3061E-08,1.3428E-08,1.3757E-08,-1E-12,1E-12,-1E-12,-1E-12,-1E-12,-2E-12,0,0
-1.3,6.15E-09,8.729E-09,1.0892E-08,1.2412E-08,1.2761E-08,1.3491E-08,1.386E-08,1.4189E-08,-1E-12,0,0,0,0,0,-2E-12,-2E-12
-1.4,6.851E-09,9.237E-09,1.1457E-08,1.2771E-08,1.3398E-08,1.3834E-08,1.4202E-08,1.4537E-08,-1E-12,0,0,-2E-12,-1E-12,-2E-12,0,-1E-12
-1.5,7.729E-09,1.02E-08,1.1977E-08,1.2955E-08,1.3759E-08,1.4207E-08,1.4652E-08,1.4991E-08,-1E-12,0,0,-4E-12,0,-1E-12,-1E-12,-2E-12
-1.6,9.508E-09,1.0881E-08,1.2483E-08,1.36E-08,1.4114E-08,1.4649E-08,1.4973E-08,1.5308E-08,-2E-12,1E-12,-1E-12,-5E-12,-1E-12,-2E-12,0,0
-1.7,1.0336E-08,1.1713E-08,1.294E-08,1.4158E-08,1.4788E-08,1.5217E-08,1.5567E-08,1.5912E-08,-1E-12,0,0,-4E-12,1E-12,0,-2E-12,-2E-12
-1.8,1.162E-08,1.2635E-08,1.4105E-08,1.5066E-08,1.5732E-08,1.6239E-08,1.6634E-08,1.7011E-08,-2E-12,0,-1E-12,-5E-12,-1E-12,-1E-12,-1E-12,-1E-12
-1.9,1.2704E-08,1.3705E-08,1.5286E-08,1.6331E-08,1.708E-08,1.7713E-08,1.819E-08,1.8621E-08,-1E-12,-1E-12,0,-3E-12,1E-12,1E-12,-2E-12,-2E-12
-2,1.3959E-08,1.5111E-08,1.6891E-08,1.814E-08,1.8948E-08,1.9662E-08,2.0224E-08,2.073E-08,-1E-12,0,0,-5E-12,0,-1E-12,-1E-12,1E-12
