SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.71E-09,-3.03E-08,-3.00E-08,-3.08E-08,-3.15E-08,-3.22E-08,-3.26E-08,-3.32E-08,1.38E-09,2.34E-08,2.38E-08,2.44E-08,2.49E-08,2.53E-08,2.56E-08,2.60E-08
0.4,9.88E-10,-1.87E-08,-1.94E-08,-1.99E-08,-2.02E-08,-2.05E-08,-2.06E-08,-2.08E-08,9.90E-11,1.72E-08,1.81E-08,1.85E-08,1.90E-08,1.91E-08,1.93E-08,1.95E-08
0.3,1.85E-09,-1.35E-08,-1.44E-08,-1.47E-08,-1.50E-08,-1.49E-08,-1.51E-08,-1.52E-08,-5.73E-10,1.27E-08,1.37E-08,1.40E-08,1.44E-08,1.42E-08,1.44E-08,1.45E-08
0.2,2.36E-09,-9.46E-09,-1.05E-08,-1.06E-08,-1.08E-08,-1.05E-08,-1.06E-08,-1.06E-08,-9.90E-10,9.15E-09,1.02E-08,1.03E-08,1.05E-08,1.03E-08,1.03E-08,1.02E-08
0.1,2.70E-09,-6.22E-09,-7.18E-09,-7.18E-09,-7.26E-09,-6.97E-09,-6.97E-09,-6.78E-09,-1.13E-09,6.09E-09,7.04E-09,7.06E-09,7.15E-09,6.92E-09,6.92E-09,6.75E-09
0,2.68E-09,-3.47E-09,-4.32E-09,-4.25E-09,-4.24E-09,-3.99E-09,-3.93E-09,-3.70E-09,-1.26E-09,3.65E-09,4.45E-09,4.42E-09,4.45E-09,4.23E-09,4.19E-09,4.03E-09
-0.1,2.99E-09,-1.73E-09,-2.34E-09,-2.28E-09,-2.28E-09,-2.08E-09,-2.03E-09,-1.89E-09,-1.42E-09,1.83E-09,2.41E-09,2.38E-09,2.39E-09,2.23E-09,2.19E-09,2.07E-09
-0.2,2.96E-09,5.77E-10,2.60E-11,1.50E-10,3.09E-10,4.35E-10,6.29E-10,7.98E-10,-1.53E-09,2.18E-10,7.02E-10,5.77E-10,5.39E-10,4.13E-10,3.37E-10,2.33E-10
-0.3,3.07E-09,1.88E-09,1.57E-09,1.74E-09,1.84E-09,2.03E-09,2.13E-09,2.28E-09,-1.65E-09,-8.76E-10,-6.32E-10,-6.32E-10,-7.53E-10,-7.80E-10,-9.16E-10,-1.01E-09
-0.4,3.38E-09,2.84E-09,2.61E-09,2.82E-09,2.98E-09,3.10E-09,3.25E-09,3.38E-09,-1.82E-09,-1.72E-09,-1.47E-09,-1.54E-09,-1.76E-09,-1.66E-09,-1.90E-09,-1.97E-09
-0.5,3.43E-09,3.61E-09,3.51E-09,3.57E-09,3.90E-09,3.94E-09,4.15E-09,4.27E-09,-2.01E-09,-2.26E-09,-2.22E-09,-2.29E-09,-2.41E-09,-2.40E-09,-2.54E-09,-2.60E-09
-0.6,3.79E-09,4.15E-09,4.19E-09,4.35E-09,4.54E-09,4.62E-09,4.77E-09,4.89E-09,-2.23E-09,-2.77E-09,-2.83E-09,-2.95E-09,-3.02E-09,-3.08E-09,-3.14E-09,-3.19E-09
-0.7,4.07E-09,4.66E-09,4.79E-09,4.99E-09,5.15E-09,5.27E-09,5.38E-09,5.49E-09,-2.53E-09,-3.29E-09,-3.42E-09,-3.53E-09,-3.63E-09,-3.67E-09,-3.75E-09,-3.82E-09
-0.8,4.39E-09,5.12E-09,5.32E-09,5.51E-09,5.67E-09,5.78E-09,5.90E-09,6.01E-09,-2.84E-09,-3.72E-09,-3.91E-09,-4.07E-09,-4.14E-09,-4.23E-09,-4.27E-09,-4.34E-09
-0.9,4.75E-09,5.52E-09,5.75E-09,5.97E-09,6.11E-09,6.25E-09,6.34E-09,6.45E-09,-3.23E-09,-4.14E-09,-4.38E-09,-4.52E-09,-4.64E-09,-4.69E-09,-4.77E-09,-4.84E-09
-1,5.18E-09,5.91E-09,6.15E-09,6.36E-09,6.52E-09,6.64E-09,6.76E-09,6.87E-09,-3.64E-09,-4.51E-09,-4.77E-09,-4.93E-09,-5.04E-09,-5.15E-09,-5.19E-09,-5.27E-09
-1.1,5.58E-09,6.21E-09,6.46E-09,6.67E-09,6.83E-09,6.98E-09,7.06E-09,7.17E-09,-4.10E-09,-4.87E-09,-5.14E-09,-5.31E-09,-5.40E-09,-5.50E-09,-5.58E-09,-5.66E-09
-1.2,6.04E-09,6.53E-09,6.76E-09,6.97E-09,7.11E-09,7.26E-09,7.36E-09,7.48E-09,-4.57E-09,-5.19E-09,-5.45E-09,-5.61E-09,-5.74E-09,-5.85E-09,-5.89E-09,-5.97E-09
-1.3,6.47E-09,6.78E-09,6.98E-09,7.18E-09,7.35E-09,7.50E-09,7.58E-09,7.69E-09,-5.08E-09,-5.49E-09,-5.74E-09,-5.90E-09,-6.00E-09,-6.10E-09,-6.19E-09,-6.27E-09
-1.4,6.92E-09,7.02E-09,7.22E-09,7.40E-09,7.54E-09,7.69E-09,7.80E-09,7.91E-09,-5.63E-09,-5.81E-09,-6.00E-09,-6.14E-09,-6.26E-09,-6.35E-09,-6.44E-09,-6.52E-09
-1.5,7.43E-09,7.31E-09,7.43E-09,7.60E-09,7.76E-09,7.89E-09,8.01E-09,8.12E-09,-6.20E-09,-6.13E-09,-6.29E-09,-6.42E-09,-6.51E-09,-6.65E-09,-6.74E-09,-6.83E-09
-1.6,7.91E-09,7.57E-09,7.67E-09,7.80E-09,7.93E-09,8.11E-09,8.23E-09,8.35E-09,-6.80E-09,-6.49E-09,-6.58E-09,-6.69E-09,-6.80E-09,-6.91E-09,-7.02E-09,-7.13E-09
-1.7,8.46E-09,7.90E-09,7.92E-09,8.04E-09,8.16E-09,8.31E-09,8.45E-09,8.59E-09,-7.44E-09,-6.89E-09,-6.95E-09,-7.05E-09,-7.12E-09,-7.26E-09,-7.38E-09,-7.51E-09
-1.8,9.03E-09,8.28E-09,8.26E-09,8.38E-09,8.46E-09,8.61E-09,8.75E-09,8.91E-09,-8.10E-09,-7.39E-09,-7.37E-09,-7.48E-09,-7.57E-09,-7.67E-09,-7.80E-09,-7.93E-09
-1.9,9.58E-09,8.71E-09,8.65E-09,8.76E-09,8.86E-09,8.97E-09,9.10E-09,9.24E-09,-8.92E-09,-7.90E-09,-7.88E-09,-7.98E-09,-8.07E-09,-8.20E-09,-8.31E-09,-8.42E-09
-2,1.07E-08,9.19E-09,9.12E-09,9.23E-09,9.32E-09,9.45E-09,9.87E-09,9.69E-09,-9.69E-09,-8.55E-09,-8.48E-09,-8.53E-09,-8.74E-09,-8.89E-09,-8.34E-09,-9.18E-09
-2.1,1.15E-08,1.00E-08,9.91E-09,9.71E-09,1.02E-08,1.04E-08,9.77E-09,1.07E-08,-1.05E-08,-9.24E-09,-9.16E-09,-9.32E-09,-9.43E-09,-9.58E-09,-9.19E-09,-9.87E-09
-2.2,1.22E-08,1.07E-08,1.05E-08,1.07E-08,1.09E-08,1.10E-08,1.07E-08,1.14E-08,-1.13E-08,-9.98E-09,-9.84E-09,-9.99E-09,-9.61E-09,-1.03E-08,-1.01E-08,-1.06E-08
-2.3,1.30E-08,1.14E-08,1.12E-08,1.14E-08,1.10E-08,1.18E-08,1.16E-08,1.21E-08,-1.21E-08,-1.07E-08,-1.06E-08,-1.03E-08,-1.04E-08,-1.11E-08,-1.09E-08,-1.14E-08
-2.4,1.37E-08,1.21E-08,1.19E-08,1.15E-08,1.18E-08,1.25E-08,1.23E-08,1.27E-08,-1.29E-08,-1.14E-08,-1.13E-08,-1.10E-08,-1.13E-08,-1.18E-08,-1.17E-08,-1.22E-08
-2.5,1.44E-08,1.28E-08,1.26E-08,1.24E-08,1.26E-08,1.32E-08,1.31E-08,1.35E-08,-1.36E-08,-1.21E-08,-1.21E-08,-1.19E-08,-1.21E-08,-1.26E-08,-1.25E-08,-1.29E-08
-2.6,1.51E-08,1.34E-08,1.34E-08,1.32E-08,1.34E-08,1.38E-08,1.38E-08,1.42E-08,-1.44E-08,-1.28E-08,-1.29E-08,-1.28E-08,-1.29E-08,-1.33E-08,-1.33E-08,-1.37E-08
-2.7,1.58E-08,1.42E-08,1.42E-08,1.42E-08,1.42E-08,1.46E-08,1.46E-08,1.49E-08,-1.52E-08,-1.37E-08,-1.38E-08,-1.38E-08,-1.39E-08,-1.42E-08,-1.41E-08,-1.44E-08
-2.8,1.66E-08,1.51E-08,1.51E-08,1.51E-08,1.52E-08,1.55E-08,1.54E-08,1.57E-08,-1.60E-08,-1.47E-08,-1.47E-08,-1.47E-08,-1.48E-08,-1.51E-08,-1.50E-08,-1.53E-08
-2.9,1.73E-08,1.60E-08,1.60E-08,1.60E-08,1.61E-08,1.64E-08,1.62E-08,1.65E-08,-1.67E-08,-1.56E-08,-1.57E-08,-1.57E-08,-1.58E-08,-1.60E-08,-1.59E-08,-1.61E-08
-3,1.79E-08,1.69E-08,1.70E-08,1.70E-08,1.71E-08,1.73E-08,1.72E-08,1.73E-08,-1.74E-08,-1.66E-08,-1.67E-08,-1.67E-08,-1.68E-08,-1.70E-08,-1.69E-08,-1.70E-08
-3.1,1.87E-08,1.79E-08,1.80E-08,1.80E-08,1.81E-08,1.83E-08,1.82E-08,1.83E-08,-1.82E-08,-1.76E-08,-1.77E-08,-1.78E-08,-1.78E-08,-1.80E-08,-1.79E-08,-1.80E-08
-3.2,1.96E-08,1.89E-08,1.90E-08,1.91E-08,1.92E-08,1.93E-08,1.92E-08,1.92E-08,-1.92E-08,-1.86E-08,-1.87E-08,-1.88E-08,-1.89E-08,-1.90E-08,-1.89E-08,-1.89E-08
-3.3,2.05E-08,2.00E-08,2.01E-08,2.02E-08,2.03E-08,2.04E-08,2.02E-08,2.02E-08,-2.01E-08,-1.97E-08,-1.99E-08,-2.00E-08,-2.00E-08,-2.01E-08,-2.00E-08,-2.00E-08
-3.4,2.15E-08,2.11E-08,2.13E-08,2.13E-08,2.14E-08,2.15E-08,2.13E-08,2.13E-08,-2.12E-08,-2.09E-08,-2.10E-08,-2.12E-08,-2.12E-08,-2.13E-08,-2.12E-08,-2.11E-08
-3.5,2.25E-08,2.23E-08,2.24E-08,2.26E-08,2.26E-08,2.26E-08,2.25E-08,2.25E-08,-2.23E-08,-2.21E-08,-2.23E-08,-2.24E-08,-2.24E-08,-2.25E-08,-2.23E-08,-2.23E-08
