SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-1.855E-09,-2.3305E-08,-2.4698E-08,-2.5392E-08,-2.6269E-08,-2.7513E-08,-2.7959E-08,-2.8649E-08,-5E-12,-1E-12,-2E-12,-2E-12,-1E-12,-1E-12,-1E-12,-2E-12
0.4,2.69E-10,-1.0021E-08,-1.0691E-08,-1.1454E-08,-1.2125E-08,-1.2794E-08,-1.3238E-08,-1.3697E-08,1E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12
0.3,9.18E-10,-5.865E-09,-6.242E-09,-6.779E-09,-7.198E-09,-7.556E-09,-7.937E-09,-8.254E-09,0,0,-1E-12,-2E-12,-1E-12,-1E-12,-2E-12,-1E-12
0.2,1.284E-09,-3.242E-09,-3.484E-09,-3.874E-09,-4.118E-09,-4.267E-09,-4.534E-09,-4.741E-09,1E-12,0,-2E-12,-2E-12,-1E-12,-1E-12,-1E-12,-1E-12
0.1,1.505E-09,-1.793E-09,-1.977E-09,-2.193E-09,-2.334E-09,-2.509E-09,-2.578E-09,-2.701E-09,0,1E-12,-4E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12
0,1.615E-09,3.9E-11,-3E-11,-1.26E-10,-1.74E-10,-2.58E-10,-4.61E-10,-5.26E-10,1E-12,2E-12,-2E-12,-1E-12,0,0,0,-1E-12
-0.1,1.72E-09,7.87E-10,7.55E-10,7.31E-10,7.32E-10,7.03E-10,7.15E-10,6.96E-10,0,1E-11,-2E-12,-1E-12,-1E-12,-1E-12,-1E-12,-1E-12
-0.2,1.651E-09,1.238E-09,1.027E-09,1.029E-09,1.04E-09,1.033E-09,1.287E-09,1.292E-09,1E-12,9E-12,-2E-12,0,-1E-12,0,-1E-12,0
-0.3,1.907E-09,1.528E-09,1.543E-09,1.575E-09,1.609E-09,1.625E-09,1.668E-09,1.686E-09,-1E-12,-1E-12,-3E-12,-1E-12,-1E-12,-1E-12,0,-1E-12
-0.4,1.855E-09,1.793E-09,1.623E-09,1.66E-09,1.693E-09,1.713E-09,1.748E-09,1.772E-09,1E-12,0,-1E-12,0,0,-1E-12,0,0
