SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-2.259E-09,-3.5601E-08,-4.7718E-08,-4.9398E-08,-5.1415E-08,-5.3332E-08,-5.4722E-08,-5.578E-08,0,0,1E-12,0,-1E-12,0,0,0
0.4,-6.11E-10,-1.807E-08,-2.5042E-08,-2.7042E-08,-2.8887E-08,-3.0492E-08,-3.1545E-08,-3.2115E-08,-1E-12,-1E-12,0,0,-2E-12,-1E-12,1E-12,-2E-12
0.3,1.38E-09,-1.1585E-08,-1.6801E-08,-1.8477E-08,-2.0018E-08,-2.1251E-08,-2.199E-08,-2.2231E-08,2E-12,1E-12,-2E-12,-2E-12,1E-12,-1E-12,-2E-12,1E-12
0.2,2.15E-09,-7.156E-09,-1.103E-08,-1.232E-08,-1.3345E-08,-1.4325E-08,-1.4831E-08,-1.4737E-08,-1E-12,-2E-12,-2E-12,-2E-12,-1E-12,-2E-12,-3E-12,-2E-12
0.1,2.233E-09,-4.199E-09,-6.797E-09,-7.305E-09,-8.593E-09,-9.031E-09,-9.375E-09,-9.466E-09,1E-12,-3E-12,-2E-12,1E-12,-1E-12,-2E-12,-2E-12,-2E-12
0,2.663E-09,-2.43E-09,-3.681E-09,-4.037E-09,-4.925E-09,-5.181E-09,-5.374E-09,-5.413E-09,-2E-12,-2E-12,-1E-12,-2E-12,-2E-12,-2E-12,-3E-12,-2E-12
-0.1,2.864E-09,6.62E-10,-2.026E-09,-2.459E-09,-2.795E-09,-2.273E-09,-2.329E-09,-2.33E-09,1E-12,2E-12,-1E-12,-1E-12,-1E-12,-2E-12,-2E-12,-2E-12
-0.2,3.051E-09,2.049E-09,1.226E-09,1.002E-09,8.64E-10,7.45E-10,4.84E-10,5.27E-10,-1E-12,-1E-12,1E-12,1E-12,1E-12,1E-12,2E-12,1E-12
-0.3,3.228E-09,3.023E-09,2.626E-09,2.553E-09,2.514E-09,1.259E-09,1.389E-09,1.427E-09,1E-12,1E-12,-1E-12,-1E-12,-2E-12,1E-12,1E-12,1E-12
-0.4,3.486E-09,3.834E-09,3.697E-09,3.736E-09,3.755E-09,2.629E-09,2.579E-09,2.625E-09,-1E-12,-2E-12,0,1E-12,1E-12,2E-12,1E-12,1E-12
