SoftPlot for Genesys Testlink,,,,,,,,,,,,,,,,
Start,5.00E-01,,,,,,,,,,,,,,,
Stop,-3.50E+00,,,,,,,,,,,,,,,
Points,41,,,,,,,,,,,,,,,
X-Axis (V),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none),0 (none),-0.400000 (none),-0.800000 (none),-1.200000 (none),-1.600000 (none),-2.000000 (none),-2.400000 (none),-2.800000 (none)
0.5,-5.9E-10,-4.2697E-08,-4.8325E-08,-5.1468E-08,-5.4292E-08,-5.7095E-08,-5.9322E-08,-6.1032E-08,-1E-12,0,-1E-12,-2E-12,-1E-12,-2E-12,-1E-12,-1E-12
0.4,1.779E-09,-1.9939E-08,-2.452E-08,-2.6209E-08,-2.7603E-08,-2.9168E-08,-3.0369E-08,-3.131E-08,-2E-12,-3E-12,0,-1E-12,-1E-12,-2E-12,-2E-12,-1E-12
0.3,2.058E-09,-1.2145E-08,-1.5479E-08,-1.6433E-08,-1.7358E-08,-1.8371E-08,-1.9177E-08,-1.9837E-08,-2E-12,-1E-12,0,-1E-12,-2E-12,-1E-12,0,-2E-12
0.2,2.197E-09,-7.189E-09,-8.974E-09,-9.929E-09,-1.0135E-08,-1.1186E-08,-1.1723E-08,-1.1875E-08,-1E-12,-2E-12,-3E-12,0,0,0,0,0
0.1,2.288E-09,-3.729E-09,-4.835E-09,-5.473E-09,-5.733E-09,-6.362E-09,-6.713E-09,-7.034E-09,-3E-12,-1E-12,0,-1E-12,0,0,0,1E-12
0,2.325E-09,-2.062E-09,-2.877E-09,-3.036E-09,-2.776E-09,-3.023E-09,-3.253E-09,-3.508E-09,-1E-12,-2E-12,-1E-12,0,0,-1E-12,0,1E-12
-0.1,2.397E-09,1.1E-09,7.54E-10,8.2E-10,4.9E-10,3.25E-10,2.01E-10,6.4E-11,-2E-12,-2E-12,-3E-12,-3E-12,-2E-12,-2E-12,-3E-12,-2E-12
-0.2,2.455E-09,2.375E-09,2.345E-09,2.465E-09,-2.79E-10,-4.66E-10,-5.86E-10,-6.96E-10,-1E-12,-1E-12,0,0,-2E-12,-3E-12,-2E-12,-2E-12
-0.3,2.542E-09,3.226E-09,3.425E-09,3.6E-09,3.265E-09,3.203E-09,3.192E-09,3.196E-09,-2E-12,-2E-12,-2E-12,-3E-12,0,1E-12,1E-12,1E-12
-0.4,2.674E-09,3.945E-09,4.353E-09,7.09E-10,4.384E-09,4.344E-09,4.353E-09,4.37E-09,-1E-12,-1E-12,0,-2E-12,-2E-12,-2E-12,-2E-12,-2E-12
